MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AN,971SCL28,SEC RE NCD 9.71% SR.VIII,       480.00,       576.00,       576.00,       576.00,       576.00,                     3456.00,6, ,1,       750.00,       380.10
N,N0,1025PATE28,PATE 10.25% 2028,     99000.00,    101446.48,    101446.48,    101446.48,    101446.48,                   202892.96,2, ,2,    101446.48,     96331.51
N,N0,1025VCCL28,VCCL 10.25% 2028,     95155.48,     98000.00,     98000.00,     97010.00,     97010.00,                   293010.00,3, ,2,     98747.19,     90000.00
N,N0,1075WCA28,WCAPL 10.75% 2028,      9500.00,      9731.00,      9816.45,      9616.00,      9816.45,                   144900.45,15, ,6,     10129.00,      8900.00
N,N0,111ESFB31,ESFB 11.1% 2031 SR 1,    100997.99,    100500.00,    100500.00,    100500.00,    100500.00,                   100500.00,1, ,1,    101750.00,     95500.00
N,N0,1150AFIL28,AFIL 11.50% 2028 SR 05,      9839.73,      9839.73,      9841.42,      9839.73,      9841.42,                    29520.88,3, ,2,     10095.00,      8763.00
N,N0,115VCCL28,VCCL 11.5% 2028 SR C,     99000.00,     99210.00,     99210.00,     99210.00,     99210.00,                    99210.00,1, ,1,    101260.27,     96100.00
N,N0,1165ESFB32,ESFB 11.65% 2032 SR 4,    102001.00,    103000.00,    103000.00,    103000.00,    103000.00,                   206000.00,2, ,2,    104454.37,     99500.00
N,N0,1225IFL27,IFL 12.25% 2027,      8399.00,      7406.00,      7406.00,      7399.00,      7400.00,                   251658.00,34, ,7,     10980.00,      7399.00
N,N0,1225IFL28,IFL 12.25% 2028,      9499.00,      7605.00,      7611.00,      7605.00,      7611.00,                    30426.00,4, ,2,      9900.00,      7605.00
N,N0,125VCCL31,VCCL 12.5% 2031,     96500.00,     96500.00,     96500.00,     96500.00,     96500.00,                   482500.00,5, ,2,     97900.00,     76800.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9800.00,      9800.00,      9800.00,      9800.00,      9800.00,                     9800.00,1, ,1,     10000.00,      8100.00
N,N0,12AFIL27A,AFIL 12% 2027,      9747.50,      9751.00,      9751.00,      9751.00,      9751.00,                    29253.00,3, ,1,     10088.82,      8602.00
N,N0,12AFIL28,AFIL 12% 2028,      9950.00,      9850.01,      9850.01,      9850.00,      9850.00,                   384150.03,39, ,16,     10289.00,      9202.00
N,N0,12VCCL27,VCCL 12% 2027 SR A,     99001.00,     98000.00,     98000.00,     98000.00,     98000.00,                    98000.00,1, ,1,    102000.00,     95000.00
N,N0,12VCCL27D,VCCL 12% 2027 SR C,     99200.00,     99800.00,     99800.00,     99800.00,     99800.00,                   199600.00,2, ,2,     99999.99,     90000.00
N,N0,12VCCL29B,VCCL 12% 2029,     98800.00,     98800.00,     99400.00,     98800.00,     99400.00,                   396550.00,4, ,4,    102000.00,     89900.00
N,N0,850HMDA32,HMDA 8.50% 2032 STRPP C,    101339.04,    101465.21,    101465.21,    101465.21,    101465.21,                   507326.05,5, ,1,    101465.21,    101339.04
N,N0,865MFL31,MFL 8.65% 2031,    101369.58,    101436.87,    101436.87,    101436.87,    101436.87,                  1014368.70,10, ,1,    101436.87,    101369.58
N,N0,915APSBC27,APSBC 9.15% 2027 STRPP B,    100933.78,    100830.00,    100830.00,    100830.00,    100830.00,                   201660.00,2, ,1,    101883.86,    100202.01
N,N0,915APSBC31,APSBC 9.15% 2031 STRPP F,    102715.00,    102810.98,    102810.98,    102810.98,    102810.98,                   102810.98,1, ,1,    105000.00,     99928.24
N,N0,915APSBC33,APSBC 9.15% 2033 STRPP H,    103346.49,    103373.16,    103500.00,    103373.16,    103398.52,                   620365.80,6, ,3,    104666.00,    101298.18
N,N0,915APSBC34,APSBC 9.15% 2034 STRPP I,    103574.11,    103377.40,    103377.40,    103377.40,    103377.40,                  2067548.00,20, ,1,    103998.70,    101445.19
N,N0,920ISF28B,ISF 9.20% 2028 SR A,      9501.00,      9832.03,      9832.03,      9832.03,      9832.03,                    39328.12,4, ,1,      9869.00,      9300.00
N,N0,925ISF28,ISF 9.25% 2028,      9794.00,      9861.00,      9861.00,      9700.01,      9750.50,                  1674688.03,171, ,13,     10033.00,      7751.00
N,N0,930APMD29,APMD 9.30% 2029 STRPP C,    103700.00,    103300.00,    103300.00,    103100.00,    103100.00,                  1445600.00,14, ,3,    105000.00,    100501.00
N,N0,930APMD31,APMD 9.30% 2031 STRPP E,    103875.89,    104100.00,    104100.00,    104100.00,    104100.00,                   936900.00,9, ,1,    104813.04,    100100.00
N,N0,930APMD32,APMD 9.30% 2032 STRPP F,    105297.53,    105597.53,    105597.53,    105597.53,    105597.53,                   211195.06,2, ,2,    105999.00,    100000.00
N,N0,930APMD35,APMD 9.30% 2035 STRPP I,    106000.00,    106000.00,    106000.00,    106000.00,    106000.00,                   212000.00,2, ,2,    107999.00,    100000.00
N,N0,975ISF28,ISF 9.75% NCD 2028,     99000.00,     91300.00,     91300.00,     90100.01,     90100.01,                   455211.01,5, ,3,    107698.99,     86000.00
N,N1,1015SCL29B,SEC RE NCD 10.15% SR VII,      1065.15,      1008.09,      1008.99,      1008.09,      1008.99,                    29242.71,29, ,3,      1065.15,       972.00
N,N1,1015SCL30,SCL 10.15% SR VII,      1045.00,      1008.09,      1008.09,      1008.09,      1008.09,                     9072.81,9, ,1,      1045.00,      1000.00
N,N1,1025SCL35A,SCL 10.25% SR XII,       990.00,      1050.00,      1050.00,      1050.00,      1050.00,                    50400.00,48, ,1,      1180.00,       800.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1006.47,      1006.47,      1006.47,      1006.47,      1006.47,                    42271.74,42, ,3,      1099.00,       950.00
N,N1,1075SCL34T,SCL 10.75% 2034 SR XI,      1020.00,      1081.45,      1081.45,      1081.45,      1081.45,                    10814.50,10, ,1,      1119.00,       950.20
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       311.00,       307.25,       308.49,       306.01,       308.49,                   482454.11,1568, ,10,       342.10,       300.00
N,N1,805NMC29,NMC 8.05% 2029 SR STRPP A,       127.00,       129.00,       129.00,       129.00,       129.00,                     5805.00,45, ,1,       129.00,       118.00
N,N1,888ECL28,ECL 8.88% 2028 SR V,       984.00,       984.00,       984.00,       980.00,       980.00,                   248940.00,253, ,4,      1028.00,       785.00
N,N1,8SMC29,SMC 8% 2029 STRPP A,       505.84,       509.99,       510.00,       509.99,       509.99,                    22439.80,44, ,7,       520.00,       496.10
N,N1,902SCL27Q,SCL 9.02% 2027 SR V,       980.00,       980.00,       980.00,       980.00,       980.00,                    49000.00,50, ,1,      1000.00,       820.80
N,N1,905PFL26,PFL 9.05% SR II 2026,      1058.00,      1052.20,      1060.79,      1052.00,      1060.79,                   305455.60,290, ,5,      1063.50,       990.00
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       995.00,       995.00,       995.00,       995.00,       995.00,                     1990.00,2, ,2,      1080.60,       901.20
N,N1,965SCL26F,SEC RE NCD 9.65% SR I,      1070.80,      1070.80,      1070.80,      1066.55,      1066.55,                    36283.95,34, ,2,      1072.00,       902.00
N,N1,971SCL30,SCL 9.71% SR VIII,      1026.42,      1026.66,      1026.66,      1026.66,      1026.66,                   626262.60,610, ,4,      1028.00,       820.50
N,N1,9IHFL27,SEC RE NCD 9% SR IV,      1000.00,      1041.62,      1041.62,      1041.62,      1041.62,                    63538.82,61, ,1,      1041.62,       948.45
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       255.88,       255.50,       256.99,       255.50,       256.99,                   125803.40,491, ,7,       287.50,       240.01
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1067.99,      1065.00,      1069.00,      1065.00,      1069.00,                  2135345.00,2005, ,2,      1109.90,      1032.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1106.00,      1099.10,      1099.10,      1099.10,      1099.10,                    49459.50,45, ,8,      1174.00,      1078.05
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       308.10,       303.02,       308.11,       303.02,       308.11,                    22168.65,72, ,3,       372.00,       303.02
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1074.00,      1074.00,      1079.60,      1070.00,      1070.00,                   199501.60,186, ,6,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1039.70,      1039.00,      1040.90,      1039.00,      1039.51,                  1008836.03,970, ,12,      1129.00,      1019.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1074.00,      1074.00,      1078.00,      1074.00,      1074.45,                  1583998.29,1473, ,32,      1133.65,      1026.01
N,N2,8SMC30,SMC 8% 2030 STRPP B,       505.00,       505.00,       505.00,       505.00,       505.00,                    50500.00,100, ,2,       549.00,       482.00
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1022.50,      1018.00,      1019.00,      1018.00,      1019.00,                    20370.00,20, ,2,      1097.25,       912.80
N,N2,925ECL28,ECL 9.25% 2028 SR VI,       994.05,       999.00,      1000.00,       999.00,      1000.00,                    20999.00,21, ,3,      1060.00,       900.00
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       986.51,      1003.65,      1003.65,      1003.65,      1003.65,                     1003.65,1, ,1,      1020.00,       950.00
N,N2,9SCL27,SCL 9.00% 2027 SR I,      1067.80,      1067.80,      1067.80,      1067.80,      1067.80,                    10678.00,10, ,1,      1071.20,       887.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       256.00,       255.00,       255.00,       255.00,       255.00,                     5355.00,21, ,1,       279.00,       241.41
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       416.96,       418.30,       418.30,       410.00,       411.01,                  1023832.11,2489, ,17,       483.86,       402.07
N,N3,7PFCL31,PFCL 7.00% 2031 SR I,       980.00,       955.50,       978.00,       955.50,       978.00,                    11646.00,12, ,2,      1000.00,       805.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       254.89,       255.00,       257.00,       255.00,       257.00,                    31055.00,121, ,2,       263.95,       211.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,      1015.00,      1010.00,      1011.00,      1010.00,      1010.10,                    39416.00,39, ,3,      1199.00,       929.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1082.99,      1073.50,      1073.50,      1073.50,      1073.50,                   106276.50,99, ,1,      1082.99,       961.00
N,N4,81ABCL33,ABCL 8.1% SR VI,      1067.50,      1067.49,      1067.49,      1067.49,      1067.49,                    16012.35,15, ,1,      1190.00,       882.80
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,      1036.20,      1036.20,      1036.20,      1036.00,      1036.00,                   518038.00,500, ,2,      1099.00,       931.00
N,N5,751HUDCO28,7.51 NCD 16FEB28 TR1 SR2,      1056.00,      1062.99,      1062.99,      1062.99,      1062.99,                    21259.80,20, ,2,      1115.00,      1030.02
N,N5,805ABCL28,ABCL 8.05% SR III,      1040.00,      1050.00,      1050.00,      1050.00,      1050.00,                    52500.00,50, ,1,      1079.00,       895.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1070.13,      1072.00,      1072.00,      1072.00,      1072.00,                   321600.00,300, ,4,      1119.90,      1029.21
N,N5,873NTPC28,8.73%S-R-NCD SERIES 2B,      1109.01,      1125.00,      1125.00,      1125.00,      1125.00,                     9000.00,8, ,1,      1175.00,      1071.71
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1085.01,      1194.90,      1194.90,      1194.90,      1194.90,                    95592.00,80, ,1,      1198.99,      1062.26
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,      1097.42,      1128.96,      1128.96,      1128.96,      1128.96,                     1128.96,1, ,1,      1189.89,      1079.81
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,      1003.00,      1003.00,      1003.00,      1003.00,      1003.00,                    53159.00,53, ,1,      1029.59,       896.25
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,      1000.80,      1000.80,      1004.95,      1000.00,      1001.00,                   256081.47,256, ,18,      1004.98,       810.60
N,N6,10IIFL29,UNSEC RED NCD 10.0% SR. V,      1040.00,       975.50,      1040.00,       975.50,      1001.00,                   173987.50,176, ,6,      1110.00,       975.50
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1090.00,      1080.20,      1080.20,      1080.20,      1080.20,                     1080.20,1, ,1,      1092.56,       973.20
N,N6,720PFCL36,PFCL 7.20% 2036 SR II,      1021.50,      1021.44,      1022.00,      1021.44,      1022.00,                   449480.00,440, ,5,      1022.00,       962.75
N,N6,805NMC34,NMC 8.05% 2034 SR STRPP F,       126.50,       126.50,       126.50,       126.50,       126.50,                     3162.50,25, ,1,       126.50,       118.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1106.89,      1108.00,      1108.00,      1102.00,      1105.86,                   943110.35,853, ,22,      1250.00,      1079.00
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1275.62,      1273.00,      1275.00,      1268.00,      1275.00,                   460881.17,362, ,5,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1240.00,      1258.78,      1258.78,      1258.78,      1258.78,                     6293.90,5, ,1,      1520.00,      1181.12
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6265.02,      6270.00,      6280.00,      6270.00,      6278.53,                   539860.05,86, ,4,      7390.00,      6030.10
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,       999.71,      1005.00,      1008.00,       999.71,      1008.00,                    10040.13,10, ,4,      1200.00,       956.47
N,N7,105IIFL29,UNSEC RED NCD 10.5% SR.VI,      1023.00,      1089.00,      1089.00,      1023.00,      1060.45,                   136024.00,128, ,3,      1508.00,       954.00
N,N7,774IREDA31,7.74% TAX FREE NCD,      1122.00,      1126.90,      1126.90,      1126.69,      1126.69,                     7888.09,7, ,3,      1171.00,      1078.45
N,N7,867PFCL33,8.67% TAX FREE NCD,      1280.00,      1242.01,      1242.01,      1242.01,      1242.01,                   183817.48,148, ,2,      1398.99,      1183.10
