MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1119.00,      1120.00,      1120.00,      1099.90,      1099.90,                    71391.00,64, ,4,      1182.00,      1040.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1120.00,      1100.00,      1105.00,      1100.00,      1105.00,                     6615.00,6, ,6,      1160.50,      1015.00
N,N8,1102NFL26,SEC RE NCD 11.02% SR.V,      1062.94,       965.00,       965.00,       965.00,       965.00,                    11580.00,12, ,1,      1299.00,       965.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1105.00,      1119.94,      1119.94,      1119.94,      1119.94,                     1119.94,1, ,1,      1175.00,      1083.00
N,N8,81TCHF28,SEC RED NCD 8.10% SR.IV,      1006.20,      1025.00,      1025.00,      1020.00,      1020.00,                    25600.00,25, ,3,      1107.50,       986.70
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1076.80,      1074.00,      1077.90,      1073.01,      1077.90,                   450918.49,419, ,18,      1120.00,      1012.00
N,N8,875PF26,SEC RE NCD 8.75% SR.IV,      1079.00,      1072.00,      1075.00,      1072.00,      1075.00,                    42970.00,40, ,4,      1079.00,       994.00
N,N8,892PFCL33,8.92% TAX FREE NCD,      1267.05,      1285.00,      1285.00,      1269.00,      1278.61,                   908836.27,711, ,14,      1343.00,      1219.99
N,N9,735NHAI31,TAX FREE7.35% SR.IIA,      1102.00,      1102.75,      1102.75,      1102.75,      1102.75,                   275687.50,250, ,1,      1340.90,      1066.00
N,N9,820IIFL27,SEC RE NCD 8.20% SR.III,       992.00,       993.00,       993.00,       993.00,       993.00,                    89370.00,90, ,1,      1000.00,       961.50
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1116.96,      1116.90,      1116.92,      1115.00,      1115.00,                   636906.38,571, ,11,      1179.99,      1075.00
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1099.50,      1102.00,      1102.00,      1101.99,      1102.00,                   717400.00,651, ,5,      1159.99,      1075.10
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1099.90,      1099.99,      1099.99,      1098.00,      1098.00,                   263950.23,240, ,7,      1182.95,      1060.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1117.65,      1100.00,      1100.00,      1100.00,      1100.00,                   121000.00,110, ,2,      1157.00,      1032.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1055.25,      1061.00,      1061.00,      1058.00,      1058.00,                    15900.00,15, ,2,      1069.00,       950.00
N,NB,851HUDCO28,8.51% TAX FREETRI SR2A,      1113.15,      1121.10,      1121.10,      1121.00,      1121.00,                   687173.10,613, ,4,      1331.00,      1073.01
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1010.07,      1020.00,      1020.00,      1020.00,      1020.00,                    20400.00,20, ,2,      1130.00,       986.38
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,       995.53,      1002.00,      1002.00,      1000.00,      1000.00,                   595040.00,595, ,9,      1200.00,       851.00
N,NC,730PFCL41,PFCL 7.30% 2041 SR IV,       992.22,       992.43,       992.43,       989.99,       989.99,                   123870.75,125, ,5,       999.00,       775.00
N,NC,863REC29,BOND8.63% PA TF TR II S2A,      1135.09,      1129.00,      1129.00,      1129.00,      1129.00,                   500147.00,443, ,1,      1399.87,      1129.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1013.02,      1017.99,      1017.99,      1013.10,      1013.99,                   748636.65,738, ,17,      1098.99,       990.60
N,ND,1119NFL27,SEC RE NCD 11.19% SR.V,      1034.00,      1034.00,      1034.00,      1032.00,      1032.04,                    51602.00,50, ,2,      1290.00,       872.82
N,ND,739NHAI31A,TAX FREE 7.39% SR. IIA,      1128.10,      1134.10,      1134.10,      1134.00,      1134.00,                  1391418.10,1227, ,3,      1338.00,      1026.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1126.90,      1123.60,      1129.99,      1123.00,      1129.99,                  2130225.75,1895, ,12,      1178.89,      1072.00
N,ND,965SCL30,SCL 9.65% 2030 SR VII,      1060.00,      1059.63,      1059.63,      1059.63,      1059.63,                    23311.86,22, ,1,      1080.00,       990.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1021.11,      1026.00,      1026.00,      1021.70,      1024.79,                   535059.88,522, ,16,      1123.00,       983.00
N,ND,AEL170725,AEL 0% 2028 SR V,      1087.98,      1040.00,      1040.00,      1040.00,      1040.00,                    22880.00,22, ,1,      1137.00,       995.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1030.00,      1030.00,      1030.00,      1025.00,      1025.81,                   523250.00,510, ,6,      1100.05,       950.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1136.56,      1141.90,      1147.00,      1141.90,      1145.40,                  1203642.50,1051, ,9,      1170.00,      1087.19
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1108.01,      1109.00,      1110.00,      1109.00,      1109.99,                   598088.40,539, ,17,      1354.90,      1084.61
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,      1055.76,      1061.45,      1061.50,      1061.45,      1061.50,                   201684.20,190, ,4,      1229.00,       925.41
N,NE,PFCL41A,PFCL 0% 2041 SR V,       949.00,       955.00,       955.00,       955.00,       955.00,                     9550.00,10, ,1,      1000.00,       900.00
N,NF,1015UCL27,UCL 10.15% SR III,      1018.00,       982.70,       982.70,       982.70,       982.70,                     1965.40,2, ,1,      1029.00,       950.00
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1127.32,      1129.16,      1155.00,      1129.16,      1135.23,                   663754.56,586, ,8,      1210.00,      1083.00
N,NF,930AEL30,AEL 9.3% 2030 SR VII,      1032.94,      1033.92,      1040.00,      1033.92,      1040.00,                   145216.00,140, ,8,      1122.00,       990.10
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,      1000.21,      1000.10,      1004.78,      1000.00,      1003.37,                  2094904.10,2089, ,23,      1004.98,       890.00
N,NH,743REC35,7.43% TAX FREE TRI SR3B,      1190.00,      1200.00,      1200.00,      1200.00,      1200.00,                    18000.00,15, ,1,      1237.00,      1134.01
N,NH,860AEL28,AEL 8.60% 2028 SR I,      1014.20,      1006.50,      1044.00,      1006.50,      1044.00,                    63228.00,62, ,5,      1049.00,       897.97
N,NH,87LTF27,SERENCD 8.70% SR.VII OPII,      1010.00,      1010.00,      1010.00,      1010.00,      1010.00,                    75750.00,75, ,3,      1130.00,      1000.00
N,NH,925SCL30A,SCL 9.25% 2030 SR IX,      1000.00,       836.00,       836.50,       836.00,       836.50,                    89455.00,107, ,3,      1199.98,       835.34
N,NI,812REC27,8.12/8.32% TAX FREE NCD,      1018.00,      1020.00,      1020.00,      1015.00,      1015.62,                  1449580.41,1426, ,23,      1108.99,      1010.51
N,NI,AEL12126,AEL 0% 2028 SR II,      1001.00,      1030.00,      1030.00,      1030.00,      1030.00,                     6180.00,6, ,1,      1038.00,       940.00
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1128.89,      1124.01,      1129.00,      1123.00,      1129.00,                  1470317.00,1305, ,27,      1159.99,      1074.00
N,NJ,82IGT31,SEC RE NCD 8.20% SR.V,      1020.00,       900.00,      1017.02,       900.00,      1017.02,                   121923.18,120, ,7,      1156.05,       900.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,      1009.00,      1005.00,      1007.00,      1005.00,      1007.00,                    35195.00,35, ,2,      1189.00,       884.00
N,NK,875AEL29,AEL 8.75% 2029 SR IV,      1037.00,      1037.00,      1049.00,      1037.00,      1045.52,                   274058.00,264, ,10,      1121.20,       994.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1073.60,      1075.56,      1075.56,      1074.00,      1075.01,                   332316.89,309, ,7,      1235.00,       878.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1009.00,      1009.00,      1009.00,      1009.00,      1009.00,                   388465.00,385, ,2,      1115.00,       986.15
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       999.00,      1000.00,      1000.00,       989.00,       999.85,                   572449.80,577, ,12,      1004.49,       889.00
N,NL,945SCL32,SCL 9.45% 2032 SR XI,       990.00,      1175.00,      1175.00,      1175.00,      1175.00,                    39950.00,34, ,1,      1175.00,       900.00
N,NM,1030SFIL28,SEC RE NCD 10.30% SR.VII,       372.10,       400.25,       400.25,       400.25,       400.25,                     6804.25,17, ,1,       700.00,       372.10
N,NM,862AEL31,AEL 8.62% 2031 SR VI,      1001.00,      1001.50,      1015.00,      1001.50,      1012.64,                   246298.15,244, ,11,      1108.00,       998.00
N,NM,875IIFL26,SEC RE NCD 8.75% SR.VI,      1049.33,      1055.00,      1055.00,      1055.00,      1055.00,                    52750.00,50, ,1,      1063.50,       985.00
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1050.00,      1050.00,      1050.00,      1050.00,      1050.00,                    10500.00,10, ,1,      1156.40,      1005.00
N,NN,890AEL31,AEL 8.90% 2031 SR VII,      1040.00,      1040.00,      1041.00,      1040.00,      1041.00,                   167441.00,161, ,4,      1108.02,       994.00
N,NN,948SCL26A,SEC RE NCD 9.48% SR V,       333.00,       399.00,       399.00,       310.80,       336.00,                     2242.80,6, ,3,       799.00,       303.30
N,NN,IIFLZC26,SEC RE NCD 0% SR.VII,      1478.00,      1469.00,      1469.00,      1469.00,      1469.00,                    14690.00,10, ,1,      1478.00,      1317.90
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1133.60,      1136.00,      1136.00,      1135.00,      1135.00,                    14758.00,13, ,2,      1170.00,      1085.20
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,      1008.00,      1015.00,      1019.00,      1011.00,      1018.50,                     9126.00,9, ,4,      1114.12,       985.11
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1051.00,      1044.00,      1044.00,      1044.00,      1044.00,                   130500.00,125, ,2,      1246.00,       993.00
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       991.97,       995.29,       995.29,       988.30,       988.30,                   290462.60,293, ,8,      1003.98,       951.00
N,NS,889SCL26,SEC RE NCD 9.25% SR.VII,      1052.55,      1056.35,      1056.35,      1056.35,      1056.35,                   808107.75,765, ,4,      1060.17,       985.00
N,NT,975SCL28,SEC RE NCD 8.89% SR.VIII,       992.11,       997.00,      1005.99,       997.00,      1005.99,                   182661.99,183, ,8,      1007.90,       955.45
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,      1028.00,      1031.00,      1031.00,      1014.30,      1020.00,                   299843.50,295, ,4,      1095.00,       943.10
N,NV,1003SCL30A,SEC RE NCD 10.03% SR X,       714.20,       855.00,       855.00,       855.00,       855.00,                    51300.00,60, ,1,       889.99,       651.00
N,NW,IIFL210425,IIFL TR I SR II,      1104.00,      1105.00,      1105.00,      1105.00,      1105.00,                    36465.00,33, ,1,      1105.00,       996.00
N,NZ,935IIFL28,IIFL 9.35% TR I SR V,       999.00,       980.00,       980.00,       980.00,       980.00,                    10780.00,11, ,2,      1049.99,       910.00
N,Y0,975IIFL28,IIFL 9.75% TR I SR VI,      1011.00,      1028.97,      1028.97,      1028.97,      1028.97,                    76143.78,74, ,1,      1101.12,      1000.00
N,Y0,9IIFL28,SEC RE NCD 9% SR.VI,       995.00,       995.00,       995.00,       995.00,       995.00,                    19900.00,20, ,2,      1161.00,       946.00
N,Y1,IIFLZC28B,SEC RE NCD 0% SR.VII,      1288.90,      1269.00,      1287.29,      1236.40,      1286.07,                   641388.90,502, ,11,      1288.90,      1107.00
N,Y4,837IIFL28,IIFL 8.37% TR I SR I,       981.20,       981.20,       981.20,       981.20,       981.20,                     9812.00,10, ,1,      1050.00,       953.00
N,Y5,852IIFL29,IIFL 8.52% TR I SR II,       990.00,       990.00,       990.00,       990.00,       990.00,                    50490.00,51, ,3,      1016.00,       975.00
N,Y6,865IIFL31,IIFL 8.65% TR I SR III,       992.00,       951.00,       998.00,       951.00,       997.99,                     2946.99,3, ,3,      1003.00,       951.00
N,Y7,870IIFL28,IIFL 8.70% TR I SR IV,       995.20,       975.30,      1005.80,       975.30,      1005.80,                    59585.50,60, ,3,      1009.80,       881.02
N,YA,925SCFL27,SEC RE NCD 9.25% SR.VII,      1038.53,      1035.22,      1035.22,      1035.22,      1035.22,                    51761.00,50, ,4,      1068.00,       956.13
N,YA,IIFL060326,IIFL TR I SR VII,      1000.00,      1000.00,      1000.00,       980.00,       980.00,                    42541.00,43, ,4,      1014.00,       931.98
N,YC,IIFL06326,IIFL TR I SR IX,       970.00,       974.10,       974.10,       970.01,       972.93,                    27242.08,28, ,3,      1151.11,       951.00
N,YI,903SFL28,SEC RED NCD 9.03% SR. II,      1050.00,      1050.00,      1050.00,      1048.00,      1048.00,                     8394.00,8, ,2,      1078.00,      1020.30
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1046.00,      1050.00,      1050.00,      1046.00,      1046.05,                   187359.00,179, ,13,      1270.00,      1016.33
N,YM,835SCL23B,SEC RE NCD 10.25% SR XII,       995.00,      1001.00,      1001.00,      1000.25,      1000.25,                   100051.25,100, ,2,      1081.44,       900.00
N,YP,930SFL28,SEC RED NCD 9.30% SR. II,      1032.49,      1055.00,      1055.00,      1045.00,      1045.00,                    93495.00,89, ,2,      1190.00,       898.20
N,Z6,1075SCFL34,SEC RE NCD 10.75% SR XI,      1045.25,      1033.10,      1033.10,      1033.10,      1033.10,                   103310.00,100, ,1,      1111.11,       951.00
N,Z9,97SFL26,SEC RED NCD 9.7% SR.VII,      1084.90,      1083.88,      1083.89,      1083.88,      1083.89,                   423799.16,391, ,10,      1099.01,       976.01
N,ZF,875SFL27,SEC RED NCD 8.75% SR.III,      1024.95,      1024.95,      1025.00,      1024.95,      1025.00,                    15374.50,15, ,2,      1096.75,       974.53
N,ZI,91SFL27,SEC RED NCD 9.10% SR.VI,      1020.00,      1031.99,      1031.99,      1031.99,      1031.99,                    41279.60,40, ,1,      1096.97,       993.10
N,ZM,925SCL29A,SEC RE NCD 9.25% SR VIII,       990.00,       987.24,       987.24,       987.24,       987.24,                    98724.00,100, ,2,      1009.99,       865.80
