Symbol,Series,Name,Band,Remarks
VIGOR,ST,Vigor Plast India Limited,5,"-"
VIJAYPD,ST,Vijaypd Ceutical Limited,5,"-"
VILINBIO,ST,Vilin Bio Med Limited,5,"-"
VINSYS,ST,Vinsys It Services India Limited,5,"-"
VISHWAS,ST,Vishwas Agri Seeds Limited,5,"-"
VIVIDEL,ST,Vivid Electromech Limited,5,"-"
VIVO,SM,Vivo Collaboration Solutions Limited,5,"-"
VLINFRA,ST,V.L.Infraprojects Limited,5,"-"
VR,SM,V R Infraspace Limited,5,"-"
VSCL,ST,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,SM,Walpar Nutritions Limited,5,"-"
WHITEFORCE,ST,Happy Square Outsourcing Services Limited,5,"-"
WINNY,SM,Winny Immigration & Education Services Limited,5,"GSM STAGE - 0"
WOL3D,ST,Wol 3D India Limited,5,"-"
YAAP,ST,Yaap Digital Limited,5,"-"
YUDIZ,SM,Yudiz Solutions Limited,5,"-"
AMBAAUTO,SM,Amba Auto Sales and Services Limited,10,"-"
BEWLTD,SM,BEW Engineering Limited,10,"-"
BHADORA,SM,Bhadora Industries Limited,10,"-"
CKKRETAIL,SM,C K K Retail Mart Limited,10,"-"
DENEERS,SM,De Neers Tools Limited,10,"-"
EFORCE,SM,Electro Force (India) Limited,10,"-"
FALCONTECH,SM,Falcon Technoprojects India Limited,10,"-"
FINBUD,SM,Finbud Financial Services Limited,10,"-"
GANGABATH,SM,Ganga Bath Fittings Limited,10,"-"
GIRIRAJ,SM,Giriraj Civil Developers Limited,10,"-"
ITALIANE,SM,Italian Edibles Limited,10,"-"
JAINIK,SM,Jainik Power Cables Limited,10,"-"
KALANA,SM,Kalana Ispat Limited,10,"-"
KANDARP,SM,Kandarp Digi Smart Bpo Limited,10,"-"
KCK,SM,Kck Industries Limited,10,"-"
KODYTECH,SM,Kody Technolab Limited,10,"-"
KORE,SM,Jay Jalaram Technologies Limited,10,"-"
LRRPL,SM,Lead Reclaim And Rubber Products Limited,10,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,10,"-"
MVKAGRO,SM,M.V.K. Agro Food Product Limited,10,"-"
NIRMAN,SM,Nirman Agri Genetics Limited,10,"-"
POLYSIL,SM,Polysil Irrigation Systems Limited,10,"-"
PRESSTONIC,SM,Presstonic Engineering Limited,10,"-"
SARTELE,SM,Sar Televenture Limited,10,"-"
SCML,SM,Sharp Chucks and Machines Limited,10,"-"
UTKAL,SM,Utkal Speciality Industries India Limited,10,"-"
VISAMAN,SM,Visaman Global Sales Limited,10,"-"
WTICAB,SM,Wise Travel India Limited,10,"-"
AARADHYA,SM,Aaradhya Disposal Industries Limited,20,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,20,"-"
ABHAPOWER,SM,Abha Power and Steel Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
ACETEC,SM,Acetech E-Commerce Limited,20,"-"
ACTIVEINFR,SM,Active Infrastructures Limited,20,"-"
ADISOFT,SM,Adisoft Technologies Limited,20,"-"
AERON,SM,Aeron Composite Limited,20,"-"
AESTHETIK,SM,Aesthetik Engineers Limited,20,"-"
AGARWALTUF,SM,Agarwal Toughened Glass India Limited,20,"-"
AIMTRON,SM,Aimtron Electronics Limited,20,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,20,"-"
ALUWIND,SM,ALUWIND INFRA-TECH LIMITED,20,"-"
AMCL,SM,ANB Metal Cast Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ANONDITA,SM,Anondita Medicare Limited,20,"-"
ANYA,SM,Anya Polytech & Fertilizers Limited,20,"-"
APRAMEYA,SM,Aprameya Engineering Limited,20,"-"
APS,SM,Australian Premium Solar (India) Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARHAM,SM,Arham Technologies Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARMOUR,SM,Armour Security (India) Limited,20,"-"
ASHALOG,SM,Ashapura Logistics Limited,20,"-"
ASHWINI,SM,Ashwini Container Movers Limited,20,"-"
AVIANSH,SM,Avi Ansh Textile Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAGDIGITAL,SM,B.A.G. Convergence Limited,20,"-"
BAHETI,SM,Baheti Recycling Industries Limited,20,"-"
BALAJIPHOS,SM,Balaji Phosphates Limited,20,"-"
BARFLEX,SM,Barflex Polyfilms Limited,20,"-"
BASILIC,SM,Basilic Fly Studio Limited,20,"-"
BIOPOL,SM,Biopol Chemicals Limited,20,"-"
BLUEPEBBLE,SM,Blue Pebble Limited,20,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,20,"-"
BMLL,SM,Bio Medica Laboratories Limited,20,"-"
BRACEPORT,SM,Brace Port Logistics Limited,20,"-"
C2C,SM,C2C Advanced Systems Limited,20,"-"
CANARYS,SM,Canarys Automations Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CGRAPHICS,SM,Creative Graphics Solutions India Limited,20,"-"
CHAMUNDA,SM,Chamunda Electrical Limited,20,"-"
CHANDAN,SM,Chandan Healthcare Limited,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
CMNL,SM,Chaman Metallics Limited,20,"-"
CONNPLEX,SM,Connplex Cinemas Limited,20,"-"
CSSL,SM,Clear Secured Services Limited,20,"-"
CURIS,SM,Curis Lifesciences Limited,20,"-"
CURRENT,SM,Current Infraprojects Limited,20,"-"
DANISH,SM,Danish Power Limited,20,"-"
DCCL,SM,Dar Credit & Capital Limited,20,"-"
DCG,SM,DCG Cables & Wires Limited,20,"-"
DECCANTRAN,SM,Deccan Transcon Leasing Limited,20,"-"
DELAPLEX,SM,Delaplex Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DHANLAXMI,SM,Dhanlaxmi Crop Science Limited,20,"-"
DHARARAIL,SM,Dhara Rail Projects Limited,20,"-"
DHARIWAL,SM,Dhariwalcorp Limited,20,"-"
DIGIKORE,SM,Digikore Studios Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DTL,SM,Diensten Tech Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
EEPL,SM,Eppeltone Engineers Limited,20,"-"
EFACTOR,SM,E Factor Experiences Limited,20,"-"
ELGNZ,SM,Eleganz Interiors Limited,20,"-"
EMAPARTNER,SM,EMA Partners India Limited,20,"-"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,20,"-"
EMMIL,SM,Energy Mission Machineries (India) Limited,20,"-"
ENCOMPAS,SM,Encompass Design India Limited,20,"-"
ENFUSE,SM,Enfuse Solutions Limited,20,"-"
ENVIRO,SM,Envirotech Systems Limited,20,"-"
ESPRIT,SM,Esprit Stones Limited,20,"-"
ETL,SM,Emkay Tools Limited,20,"-"
ETML,SM,Emerald Tyre Manufacturers Limited,20,"-"
EXIMROUTES,SM,Exim Routes Limited,20,"-"
FELIX,SM,Felix Industries Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FLYSBS,SM,FlySBS Aviation Limited,20,"-"
FORCAS,SM,Forcas Studio Limited,20,"-"
FRESHARA,SM,Freshara Agro Exports Limited,20,"-"
FWSTC,SM,Flywings Simulator Training Centre Limited,20,"-"
GAJANAND,SM,Gajanand International Limited,20,"-"
GENXAI,SM,GenXAI Analytics Limited,20,"-"
GGBL,SM,Ganesh Green Bharat Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GSMFOILS,SM,GSM Foils Limited,20,"-"
HIGREEN,SM,Hi-Green Carbon Limited,20,"-"
IDEALTECHO,SM,Ideal Technoplast Industries Limited,20,"-"
INFLUX,SM,Influx Healthtech Limited,20,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,20,"-"
INM,SM,Interiors & More Limited,20,"-"
IPHL,SM,Indian Phosphate Limited,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
JAYESH,SM,Jayesh Logistics Limited,20,"-"
JIWANRAM,SM,Jiwanram Sheoduttrai Industries Limited,20,"-"
KARNIKA,SM,Karnika Industries Limited,20,"-"
KATARIA,SM,Kataria Industries Limited,20,"-"
KAYTEX,SM,Kaytex Fabrics Limited,20,"-"
KEL,SM,Kundan Edifice Limited,20,"-"
KEN,SM,Ken Enterprises Limited,20,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,20,"-"
KKJEWELS,SM,Kabra Jewels Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KONTOR,SM,Kontor Space Limited,20,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,20,"-"
LAMOSAIC,SM,Lamosaic India Limited,20,"-"
MACOBSTECH,SM,Macobs Technologies Limited,20,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MAITREYA,SM,Maitreya Medicare Limited,20,"-"
MANILAM,SM,Manilam Industries India Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MARUSHIKA,SM,Marushika Technology Limited,20,"-"
MASON,SM,Mason Infratech Limited,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MAYASHEEL,SM,Mayasheel Ventures Limited,20,"-"
MEDISTEP,SM,Medistep Healthcare Limited,20,"-"
MEGATHERM,SM,Megatherm Induction Limited,20,"-"
MGSL,SM,Matrix Geo Solutions Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MONOLITH,SM,Monolithisch India Limited,20,"-"
MYMUDRA,SM,My Mudra Fincorp Limited,20,"-"
NEPTUNE,SM,Neptune Petrochemicals Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
NMSTEEL,SM,Newmalayalam Steel Limited,20,"-"
OBSCP,SM,OBSC Perfection Limited,20,"-"
OPTIVALUE,SM,Optivalue Tek Consulting Limited,20,"-"
ORIANA,SM,Oriana Power Limited,20,"-"
OSELDEVICE,SM,Osel Devices Limited,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PARAMATRIX,SM,Paramatrix Technologies Limited,20,"-"
PARIN,SM,Parin Enterprises Limited,20,"-"
PARTYCRUS,SM,Party Cruisers Limited,20,"-"
PCCL,SM,Petro Carbon and Chemicals Limited,20,"-"
PELATRO,SM,Pelatro Limited,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,20,"-"
PHOGLOBAL,SM,Phoenix Overseas Limited,20,"-"
PRANIK,SM,Pranik Logistics Limited,20,"-"
PRATHAM,SM,Pratham EPC Projects Limited,20,"-"
PREMIUM,SM,Premium Plast Limited,20,"-"
PRITIKA,SM,Pritika Engineering Components Limited,20,"-"
PRLIND,SM,Premier Roadlines Limited,20,"-"
PROFX,SM,Pro FX Tech Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PSFL,SM,Paramount Speciality Forgings Limited,20,"-"
PUSHPA,SM,Pushpa Jewellers Limited,20,"-"
QLINE,SM,Q-Line Biotech Limited,20,"-"
QUESTLAB,SM,Quest Laboratories Limited,20,"-"
RAJINDLTD,SM,Rajputana Industries Limited,20,"-"
RAJPUTANA,SM,Rajputana Biodiesel Limited,20,"-"
RAPIDFLEET,SM,Rapid Fleet Management Services Limited,20,"-"
RAPPID,SM,Rappid Valves (India) Limited,20,"-"
RBMINFRA,SM,Rbm Infracon Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
READYMIX,SM,Readymix Construction Machinery Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RFBL,SM,RFBL Flexi Pack Limited,20,"-"
RILINFRA,SM,Rachana Infrastructure Limited,20,"-"
RNFI,SM,RNFI Services Limited,20,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,20,"-"
ROYALARC,SM,Royal Arc Electrodes Limited,20,"-"
RTL,SM,Rama Telecom Limited,20,"-"
RULKA,SM,Rulka Electricals Limited,20,"-"
SACHEEROME,SM,Sacheerome Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAFEENTP,SM,Safe Enterprises Retail Fixtures Limited,20,"-"
SAHAJSOLAR,SM,Sahaj Solar Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SAJHOTELS,SM,Saj Hotels Limited,20,"-"
SATTVAENGG,SM,Sattva Engineering Construction Limited,20,"-"
SAVY,SM,Savy Infra and Logistics Limited,20,"-"
SAWALIYA,SM,Sawaliya Food Products Limited,20,"-"
SDREAMS,SM,S D Retail Limited,20,"-"
SELLOWRAP,SM,Sellowrap Industries Limited,20,"-"
SFML,SM,Supreme Facility Management Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHEETAL,SM,Sheetal Universal Limited,20,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,20,"-"
SHIVASHRIT,SM,Shivashrit Foods Limited,20,"-"
SHKSIL,SM,Shri Hare-Krishna Sponge Iron Limited,20,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SHUBHSHREE,SM,Shubhshree Biofuels Energy Limited,20,"-"
SIDDHICOTS,SM,Siddhi Cotspin Limited,20,"-"
SILKY,SM,Silky Overseas Limited,20,"-"
SIMCA,SM,Simca Advertising Limited,20,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SPCL,SM,Shivalic Power Control Limited,20,"-"
SPCON,SM,Srinibas Pradhan Constructions Limited,20,"-"
SPUNWEB,SM,Spunweb Nonwoven Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SSEGL,SM,Sathlokhar Synergys E&C Global Limited,20,"-"
STRIDERS,SM,Striders Impex Limited,20,"-"
SUBAHOTELS,SM,Suba Hotels Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SWARAJ,SM,Swaraj Suiting Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TAURIAN,SM,Taurian MPS Limited,20,"-"
TBI,SM,TBI Corn Limited,20,"-"
TCL,SM,Thaai Casting Limited,20,"-"
TEAMTECH,SM,Teamtech Formwork Solutions Limited,20,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,20,"-"
TRUST,SM,Trust Fintech Limited,20,"-"
TSC,SM,TSC India Limited,20,"-"
TUNWAL,SM,Tunwal E-Motors Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNILEX,SM,Unilex Colours and Chemicals Limited,20,"-"
URBAN,SM,Urban Enviro Waste Management Limited,20,"-"
USHAFIN,SM,Usha Financial Services Limited,20,"-"
VALUE360,SM,Value 360 Communications Limited,20,"-"
VDEAL,SM,Vdeal System Limited,20,"-"
VGINFOTECH,SM,Virtual Galaxy Infotech Limited,20,"-"
VIESL,SM,Vision Infra Equipment Solutions Limited,20,"-"
VILAS,SM,Vilas Transcore Limited,20,"-"
VINYAS,SM,Vinyas Innovative Technologies Limited,20,"-"
VISHNUINFR,SM,Vishnusurya Projects and Infra Limited,20,"-"
VMARCIND,SM,V Marc India Limited,20,"-"
VOLERCAR,SM,Voler Car Limited,20,"-"
WINSOL,SM,Winsol Engineers Limited,20,"-"
WOMANCART,SM,Womancart Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
ZENITHDRUG,SM,Zenith Drugs Limited,20,"-"
ZTECH,SM,Z-Tech (India) Limited,20,"-"
