SYMBOL,TM Limit Proprietary,LMT Overall Limit
360ONE,10216500,15325000
ABB,1589250,2383875
ABCAPITAL,24741100,37113200
ADANIENSOL,9827325,14741325
ADANIENT,9823728,14735592
ADANIGREEN,18562800,27844800
ADANIPORTS,22102700,33154050
ADANIPOWER,144871950,217306150
ALKEM,1448500,2172875
AMBER,652700,979100
AMBUJACEM,24340800,36512400
ANGELONE,19455000,29185000
APLAPOLLO,5976600,8964900
APOLLOHOSP,3104875,4657375
ASHOKLEY,84755000,127130000
ASIANPAINT,9077000,13615750
ASTRAL,3689425,5533925
AUBANK,15624000,23437000
AUROPHARMA,8395200,12593350
AXISBANK,61361875,92043125
BAJAJ-AUTO,2582550,3873825
BAJAJFINSV,13176900,19765500
BAJAJHLDNG,1080375,1620525
BAJFINANCE,73634250,110451000
BANDHANBNK,29487600,44229600
BANKBARODA,55893825,83842200
BANKINDIA,36353200,54527200
BDL,2756975,4135675
BEL,93177900,139768275
BHARATFORG,8021500,12032000
BHARTIARTL,84370925,126556625
BHEL,43698375,65546250
BIOCON,21605000,32407500
BLUESTARCO,3916900,5875350
BOSCHLTD,201150,301750
BPCL,61203275,91805900
BRITANNIA,3573375,5360125
BSE,12236400,18354600
CAMS,7439025,11158950
CANBK,100858500,151294500
CDSL,5329500,7994250
CGPOWER,20371100,30556650
CHOLAFIN,12971875,19457500
CIPLA,14101925,21153100
COALINDIA,68158800,102239550
COCHINSHIP,2532000,3798400
COFORGE,10466150,15699225
COLPAL,2849000,4273500
CONCOR,10327500,15491250
CROMPTON,19315600,28975550
CUMMINSIND,4074800,6112200
DABUR,16535000,24802500
DALBHARAT,2484950,3727425
DELHIVERY,22457725,33685550
DIVISLAB,2720100,4080100
DIXON,1300850,1951300
DLF,19249850,28875250
DMART,4545300,6817950
DRREDDY,17415625,26123750
EICHERMOT,3843800,5765800
ETERNAL,275814650,413724400
EXIDEIND,13770000,20656800
FEDERALBNK,73177500,109765000
FORCEMOT,147375,221050
FORTIS,10392750,15589125
GAIL,89697850,134545000
GLENMARK,4516125,6774375
GMRAIRPORT,106661700,159999525
GODFRYPHLP,1269400,1904375
GODREJCP,14411000,21616500
GODREJPROP,4367675,6551675
GRASIM,7611500,11417250
GVT&D,3763875,5645750
HAL,5690100,8535150
HAVELLS,7632500,11449000
HCLTECH,31630400,47445600
HDFCAMC,6121200,9181800
HDFCBANK,356602350,534903850
HDFCLIFE,32217900,48326300
HEROMOTOCO,3918000,5877000
HINDALCO,43730400,65595600
HINDPETRO,28785375,43179075
HINDUNILVR,19440300,29160300
HINDZINC,35794500,53691750
HYUNDAI,4265800,6398700
ICICIBANK,146111000,219166500
ICICIGI,6465225,9698000
ICICIPRULI,11824275,17736875
IDEA,1982287650,2973431475
IDFCFIRSTB,154799750,232199625
IEX,26678550,40015650
INDHOTEL,17948000,26923000
INDIANB,10572000,15858000
INDIGO,6776400,10164600
INDUSINDBK,18671800,28008400
INDUSTOWER,38549200,57823800
INFY,96071600,144107600
INOXWIND,28940800,43411200
IOC,136977750,205466625
IREDA,23801500,35702250
IRFC,58058350,87092950
ITC,250526925,375789525
JINDALSTEL,9405625,14108125
JIOFIN,100777400,151166100
JSWENERGY,18376050,27565150
JSWSTEEL,26652375,39978225
JUBLFOOD,11755000,17632500
KALYANKJIL,11504700,17257050
KAYNES,935850,1403700
KEI,1864100,2796150
KFINTECH,3992225,5988625
KOTAKBANK,167142000,250714000
KPITTECH,4924350,7386525
LAURUSLABS,11741900,17613700
LICHSGFIN,9036000,13554000
LICI,13281800,19923400
LODHA,8309375,12464375
LT,27222825,40834150
LTF,25555500,38333250
LTM,2798700,4198050
LUPIN,7288750,10933125
M&M,24674000,37011000
MANAPPURAM,16440000,24660000
MANKIND,3386000,5079000
MARICO,15920400,23881200
MARUTI,3611900,5417850
MAXHEALTH,22270500,33405750
MAZDOCK,2272725,3409200
MCX,7635375,11452950
MFSL,6815600,10223600
MOTHERSON,138713250,208072950
MOTILALOFS,5772200,8658300
MPHASIS,3485075,5227475
MUTHOOTFIN,3210075,4814975
NAM-INDIA,5372500,8058750
NATIONALUM,26844375,40267500
NAUKRI,12137950,18207200
NBCC,30972500,46462000
NESTLEIND,16914000,25371500
NHPC,98245200,147367800
NMDC,103403250,155108250
NTPC,124563000,186846000
NUVAMA,2505000,3757500
NYKAA,38400000,57600000
OBEROIRLTY,3522750,5283950
OFSS,719500,1079200
OIL,21151200,31726800
ONGC,155142000,232713000
PAGEIND,168080,252120
PATANJALI,10365150,15547725
PAYTM,13848225,20772700
PERSISTENT,3253125,4879750
PETRONET,22499800,33749700
PFC,43566900,65349700
PGEL,4843100,7264650
PHOENIXLTD,3855950,5784100
PIDILITIND,7429000,11144000
PIIND,2453325,3680075
PNB,103160000,154744000
PNBHOUSING,5624450,8437000
POLICYBZR,13861050,20791750
POLYCAB,1739000,2608500
POWERGRID,123547500,185322200
POWERINDIA,383575,575350
PREMIERENE,4849650,7274800
PRESTIGE,5046750,7570350
RADICO,2401950,3603000
RBLBANK,18542000,27813000
RECLTD,37415700,56125125
RELIANCE,148615500,222923000
RVNL,16988125,25481225
SAIL,43371600,65057400
SBICARD,8871200,13306400
SBILIFE,13111125,19666875
SBIN,122079000,183118500
SHREECEM,270225,405325
SHRIRAMFIN,42117900,63176850
SIEMENS,2619575,3929450
SOLARINDS,728950,1093400
SONACOMS,13424775,20137775
SRF,4422600,6634000
SUNPHARMA,32766300,49149450
SUPREMEIND,1784300,2676450
SUZLON,363169200,544766500
SWIGGY,77184725,115776175
TATACONSUM,17872250,26808650
TATAELXSI,1048375,1572625
TATAPOWER,50941400,76413550
TATASTEEL,213939000,320908500
TCS,30645675,45968625
TECHM,17613600,26420400
TIINDIA,2525600,3788400
TITAN,8893850,13340775
TMPV,62787200,94182400
TORNTPHARM,3076875,4615375
TRENT,7913025,11869425
TVSMOTOR,7084350,10626525
ULTRACEMCO,3154600,4731950
UNIONBANK,57808200,86712300
UNITDSPR,9453600,14180800
UNOMINDA,5479650,8219200
UPL,16837230,25255845
VBL,41155725,61734225
VEDL,50997900,76496850
VMM,83943800,125915700
VOLTAS,6918750,10378125
WAAREEENER,3090150,4635400
WIPRO,85788000,128682000
YESBANK,599079300,898634500
ZYDUSLIFE,7229700,10845000
